"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Gregory Polanco","PIT","47","181","5","17","17","5","9.4%","31.5%",".145",".275",".208",".276",".352",".272",".304","72","2.1","-4.1","-2.5","-0.1","12907"
"Marcell Ozuna","ATL","48","208","7","21","26","0","9.1%","22.1%",".144",".244",".213",".288",".356",".286",".350","79","-1.3","-6.6","-1.0","-0.1","10324"
"Maikel Franco","BAL","56","231","6","17","28","0","5.6%","14.7%",".143",".213",".203",".247",".346",".258",".265","64","-0.6","-10.5","1.6","-0.1","12179"
"Leury Garcia","CHW","47","169","0","21","17","2","7.1%","24.3%",".053",".315",".232",".287",".285",".257",".266","65","2.2","-4.9","-2.1","-0.1","5913"
"Travis Shaw","MIL","54","196","6","15","26","0","9.7%","24.5%",".145",".225",".191",".281",".335",".276",".317","73","-0.7","-7.1","-0.5","-0.1","11982"
"Jurickson Profar","SDP","54","211","1","28","17","9","12.3%","16.1%",".061",".272",".228",".325",".289",".280",".290","80","2.0","-3.3","-4.8","-0.2","10815"
"Eric Hosmer","SDP","53","216","5","18","31","4","6.9%","14.4%",".116",".301",".273",".329",".389",".314",".332","102","-1.2","-0.7","-8.0","-0.2","3516"
"Eugenio Suarez","CIN","56","239","13","31","30","0","7.5%","31.0%",".213",".168",".162",".234",".375",".265",".304","64","1.2","-9.4","-0.3","-0.2","12552"
"Cavan Biggio","TOR","39","151","3","14","11","2","13.2%","31.1%",".110",".295",".205",".315",".315",".285",".276","79","-1.2","-4.9","-2.8","-0.3","19252"
"Starlin Castro","WSN","56","229","2","12","20","0","7.4%","19.2%",".067",".295",".244",".297",".311",".271",".295","69","-0.4","-9.2","-0.7","-0.3","4579"
"Pedro Severino","BAL","40","152","2","10","8","0","9.2%","22.4%",".080",".294",".232",".303",".312",".274",".288","75","-1.4","-6.0","-1.8","-0.3","14523"
"Hunter Dozier","KCR","41","157","7","17","18","1","7.6%","31.2%",".208",".159",".146",".217",".354",".248",".297","55","0.1","-8.3","0.1","-0.3","15117"
"Miguel Sano","MIN","44","172","11","20","28","0","12.2%","39.0%",".248",".181",".161",".267",".409",".295",".292","88","-0.9","-3.4","-5.6","-0.3","12164"
"Kyle Farmer","CIN","55","161","4","14","17","1","5.0%","16.8%",".103",".224",".205",".273",".308",".262",".298","62","-1.7","-9.2","0.6","-0.4","14813"
"Erik Gonzalez","PIT","54","189","2","14","17","2","4.2%","15.9%",".066",".248",".215",".249",".282",".236",".281","49","-0.7","-12.7","3.2","-0.4","13369"
"Elvis Andrus","OAK","58","201","0","14","7","4","6.0%","17.4%",".059",".260",".214",".259",".273",".235",".278","52","0.2","-11.2","0.6","-0.4","8709"
"Jackie Bradley Jr.","MIL","51","186","5","17","14","2","4.8%","32.3%",".130",".198",".154",".220",".284",".225",".260","40","0.3","-13.4","3.5","-0.4","12984"
"Josh Naylor","CLE","52","193","5","21","15","1","5.7%","19.7%",".140",".294",".251",".302",".391",".302",".307","91","-1.5","-3.6","-7.1","-0.4","18839"
"Bobby Dalbec","BOS","47","165","6","13","24","1","6.1%","36.4%",".182",".273",".195",".248",".377",".272",".316","69","0.5","-5.7","-4.4","-0.5","19966"
"Alec Bohm","PHI","57","224","4","21","26","3","6.3%","28.1%",".092",".273",".209",".254",".301",".245",".312","54","-1.5","-14.2","0.9","-0.6","21618"
"David Dahl","TEX","42","154","4","16","12","1","3.9%","26.6%",".132",".257",".208",".242",".340",".253",".299","60","-0.9","-8.2","-3.4","-0.7","13744"
"Clint Frazier","NYY","50","177","5","15","11","2","13.6%","28.2%",".132",".240",".185",".305",".318",".285",".308","82","-2.1","-5.9","-7.5","-0.8","15983"
"Miguel Cabrera","DET","42","173","5","13","21","0","8.1%","23.7%",".108",".232",".197",".266",".306",".256",".301","61","-2.4","-10.5","-4.0","-0.9","1744"
"Jorge Soler","KCR","53","208","4","18","24","0","9.1%","30.3%",".129",".237",".174",".261",".303",".253",".323","59","-0.7","-11.0","-6.8","-1.1","14221"
